pwsid,pwsname,pctpov,pcthisp,health,medianincomehouse,violation,pcthisp_bin,pctpov_bin
AL0000038,GULF SHORES (UTILITIES BOARD CITY OF),18.799999237060547,2.9641947746276855,0,48181,FALSE,"(0,10]","(10,20]"
AL0000048,LOXLEY (TOWN OF),20.799999237060547,3.4750800132751465,0,32803,FALSE,"(0,10]","(20,30]"
AL0000048,LOXLEY (TOWN OF),21.399999618530273,7.809611797332764,0,34333,FALSE,"(0,10]","(20,30]"
AL0000048,LOXLEY (TOWN OF),18.299999237060547,7.011070251464844,0,38882,FALSE,"(0,10]","(10,20]"
AL0000048,LOXLEY (TOWN OF),22.200000762939453,9.627328872680664,0,39494,FALSE,"(0,10]","(20,30]"
AL0000053,"ORANGE BEACH WATER, SEWER AND F.P.A.",3,4.725168704986572,0,66656,FALSE,"(0,10]","(0,10]"
AL0000053,"ORANGE BEACH WATER, SEWER AND F.P.A.",5.300000190734863,11.280030250549316,0,63542,FALSE,"(10,20]","(0,10]"
AL0000053,"ORANGE BEACH WATER, SEWER AND F.P.A.",5.699999809265137,10.582595825195312,1,59679,TRUE,"(10,20]","(0,10]"
AL0000053,"ORANGE BEACH WATER, SEWER AND F.P.A.",5.400000095367432,7.977568626403809,0,58084,FALSE,"(0,10]","(0,10]"
AL0000061,ROBERTSDALE (CITY OF),10.100000381469728,4.730799674987793,0,41750,FALSE,"(0,10]","(10,20]"
AL0000061,ROBERTSDALE (CITY OF),11.5,6.460348129272461,0,43245,FALSE,"(0,10]","(10,20]"
AL0000061,ROBERTSDALE (CITY OF),9.800000190734863,11.868877410888672,0,49167,FALSE,"(10,20]","(0,10]"
AL0000061,ROBERTSDALE (CITY OF),10.600000381469728,11.213404655456545,0,44189,FALSE,"(10,20]","(10,20]"
AL0000065,SILVERHILL WATER SYSTEM (TOWN OF),2.0999999046325684,2.8481013774871826,0,50000,FALSE,"(0,10]","(0,10]"
AL0000065,SILVERHILL WATER SYSTEM (TOWN OF),4.199999809265137,2.497162342071533,0,42333,FALSE,"(0,10]","(0,10]"
AL0000065,SILVERHILL WATER SYSTEM (TOWN OF),7,2.2606382369995117,0,41875,FALSE,"(0,10]","(0,10]"
AL0000065,SILVERHILL WATER SYSTEM (TOWN OF),6.900000095367432,0.9174311757087708,0,44531,FALSE,"(0,10]","(0,10]"
AL0000068,SPANISH FORT WATER SYSTEM,3.200000047683716,0,0,65244,FALSE,"(-10,0]","(0,10]"
AL0000068,SPANISH FORT WATER SYSTEM,6.599999904632568,0.4716286063194275,0,70355,FALSE,"(0,10]","(0,10]"
AL0000068,SPANISH FORT WATER SYSTEM,6.699999809265137,0.8073817491531372,0,67593,FALSE,"(0,10]","(0,10]"
AL0000068,SPANISH FORT WATER SYSTEM,6.900000095367432,4.128761291503906,0,69608,FALSE,"(0,10]","(0,10]"
AL0000073,SUMMERDALE WATER WORKS,19.299999237060547,16.332378387451172,0,38750,FALSE,"(10,20]","(10,20]"
AL0000073,SUMMERDALE WATER WORKS,11,3.4632034301757812,1,42813,TRUE,"(0,10]","(10,20]"
AL0000073,SUMMERDALE WATER WORKS,11,7.520564079284668,1,41167,TRUE,"(0,10]","(10,20]"
AL0000073,SUMMERDALE WATER WORKS,13.300000190734863,6.941431522369385,1,39107,TRUE,"(0,10]","(10,20]"
AL0000076,"WHITE HOUSE WATER SYSTEM, INC.",26.100000381469727,2.5707898139953613,0,35951,FALSE,"(0,10]","(20,30]"
AL0000076,"WHITE HOUSE WATER SYSTEM, INC.",22.100000381469727,0.6801038980484009,0,35960,FALSE,"(0,10]","(20,30]"
AL0000076,"WHITE HOUSE WATER SYSTEM, INC.",23.5,0.6030027270317078,0,34849,FALSE,"(0,10]","(20,30]"
AL0000076,"WHITE HOUSE WATER SYSTEM, INC.",25.700000762939453,0.6827545762062073,0,32389,FALSE,"(0,10]","(20,30]"
AL0000079,BAKERHILL WATER AUTHORITY,10.600000381469728,5.757575988769531,0,32917,FALSE,"(0,10]","(10,20]"
AL0000079,BAKERHILL WATER AUTHORITY,27.600000381469727,0.9740259647369384,0,26500,FALSE,"(0,10]","(20,30]"
AL0000079,BAKERHILL WATER AUTHORITY,9.699999809265137,1.0033445358276367,0,42000,FALSE,"(0,10]","(0,10]"
AL0000079,BAKERHILL WATER AUTHORITY,8.300000190734863,1.0791367292404177,0,40000,FALSE,"(0,10]","(0,10]"
AL0000082,CLAYTON WATER WORKS & SEWER,29.299999237060547,2.1083242893218994,0,23629,FALSE,"(0,10]","(20,30]"
AL0000082,CLAYTON WATER WORKS & SEWER,31.200000762939453,4.438182353973389,0,22279,FALSE,"(0,10]","(30,40]"
AL0000082,CLAYTON WATER WORKS & SEWER,24.399999618530273,4.118447780609131,0,24100,FALSE,"(0,10]","(20,30]"
AL0000082,CLAYTON WATER WORKS & SEWER,29.399999618530273,1.6914749145507812,1,21169,TRUE,"(0,10]","(20,30]"
AL0000083,CLIO WATER WORKS,28,18.86470413208008,0,21806,FALSE,"(10,20]","(20,30]"
AL0000083,CLIO WATER WORKS,26.5,19.83681869506836,1,26250,TRUE,"(10,20]","(20,30]"
AL0000083,CLIO WATER WORKS,25.600000381469727,17.647058486938477,1,23150,TRUE,"(10,20]","(20,30]"
AL0000083,CLIO WATER WORKS,23.899999618530273,23.02510643005371,0,25000,FALSE,"(20,30]","(20,30]"
AL0000085,EUFAULA WATER WORKS,23.200000762939453,3.704263687133789,0,34025,FALSE,"(0,10]","(20,30]"
AL0000085,EUFAULA WATER WORKS,22.600000381469727,3.9179954528808594,0,36811,FALSE,"(0,10]","(20,30]"
AL0000085,EUFAULA WATER WORKS,24,5.624331474304199,0,34026,FALSE,"(0,10]","(20,30]"
AL0000085,EUFAULA WATER WORKS,24.899999618530273,5.422610759735107,1,36071,TRUE,"(0,10]","(20,30]"
AL0000087,WEST BARBOUR COUNTY WATER AUTHORITY,35.900001525878906,16.756755828857422,0,28472,FALSE,"(10,20]","(30,40]"
AL0000087,WEST BARBOUR COUNTY WATER AUTHORITY,44.099998474121094,9.498208045959473,0,21458,FALSE,"(0,10]","(40,50]"
AL0000087,WEST BARBOUR COUNTY WATER AUTHORITY,42,6.6783833503723145,0,21563,FALSE,"(0,10]","(40,50]"
AL0000087,WEST BARBOUR COUNTY WATER AUTHORITY,47.599998474121094,7.8947367668151855,0,21071,FALSE,"(0,10]","(40,50]"
